User ID,Branch,City,Customer type,Gender
750-67-8428,A,Yangon,Member,Female
226-31-3081,C,Naypyitaw,Normal,Female
631-41-3108,A,Yangon,Normal,Male
123-19-1176,A,Yangon,Member,Male
373-73-7910,A,Yangon,Normal,Male
699-14-3026,C,Naypyitaw,Normal,Male
355-53-5943,A,Yangon,Member,Female
315-22-5665,C,Naypyitaw,Normal,Female
665-32-9167,A,Yangon,Member,Female
692-92-5582,B,Mandalay,Member,Female
351-62-0822,B,Mandalay,Member,Female
529-56-3974,B,Mandalay,Member,Male
365-64-0515,A,Yangon,Normal,Female
252-56-2699,A,Yangon,Normal,Male
829-34-3910,A,Yangon,Normal,Female
299-46-1805,B,Mandalay,Member,Female
656-95-9349,A,Yangon,Member,Female
765-26-6951,A,Yangon,Normal,Male
329-62-1586,A,Yangon,Normal,Male
319-50-3348,B,Mandalay,Normal,Female
300-71-4605,C,Naypyitaw,Member,Male
371-85-5789,B,Mandalay,Normal,Male
273-16-6619,B,Mandalay,Normal,Male
636-48-8204,A,Yangon,Normal,Male
549-59-1358,A,Yangon,Member,Male
227-03-5010,A,Yangon,Member,Female
649-29-6775,B,Mandalay,Normal,Male
189-17-4241,A,Yangon,Normal,Female
145-94-9061,B,Mandalay,Normal,Female
848-62-7243,A,Yangon,Normal,Male
871-79-8483,B,Mandalay,Normal,Male
149-71-6266,B,Mandalay,Member,Male
640-49-2076,B,Mandalay,Normal,Male
595-11-5460,A,Yangon,Normal,Male
183-56-6882,C,Naypyitaw,Member,Female
232-16-2483,C,Naypyitaw,Member,Female
129-29-8530,A,Yangon,Member,Male
272-65-1806,A,Yangon,Normal,Female
333-73-7901,C,Naypyitaw,Normal,Female
777-82-7220,B,Mandalay,Member,Male
280-35-5823,B,Mandalay,Member,Female
554-53-8700,C,Naypyitaw,Member,Male
354-25-5821,B,Mandalay,Member,Female
228-96-1411,C,Naypyitaw,Member,Female
617-15-4209,C,Naypyitaw,Member,Male
132-32-9879,B,Mandalay,Member,Female
370-41-7321,B,Mandalay,Member,Male
727-46-3608,B,Mandalay,Member,Female
669-54-1719,B,Mandalay,Member,Male
574-22-5561,C,Naypyitaw,Member,Female
326-78-5178,C,Naypyitaw,Member,Male
162-48-8011,A,Yangon,Member,Female
616-24-2851,B,Mandalay,Member,Female
778-71-5554,C,Naypyitaw,Member,Male
242-55-6721,B,Mandalay,Normal,Male
399-46-5918,C,Naypyitaw,Normal,Female
106-35-6779,A,Yangon,Member,Male
635-40-6220,A,Yangon,Normal,Male
817-48-8732,A,Yangon,Member,Female
120-06-4233,C,Naypyitaw,Normal,Male
285-68-5083,C,Naypyitaw,Member,Female
803-83-5989,C,Naypyitaw,Normal,Male
347-34-2234,B,Mandalay,Member,Female
199-75-8169,A,Yangon,Member,Male
853-23-2453,B,Mandalay,Member,Male
877-22-3308,A,Yangon,Member,Male
838-78-4295,C,Naypyitaw,Normal,Female
109-28-2512,B,Mandalay,Member,Female
232-11-3025,A,Yangon,Normal,Male
382-03-4532,A,Yangon,Member,Female
393-65-2792,C,Naypyitaw,Normal,Male
796-12-2025,C,Naypyitaw,Normal,Male
510-95-6347,B,Mandalay,Member,Female
841-35-6630,C,Naypyitaw,Normal,Female
287-21-9091,A,Yangon,Normal,Male
732-94-0499,C,Naypyitaw,Normal,Female
263-10-3913,C,Naypyitaw,Member,Male
381-20-0914,A,Yangon,Member,Female
829-49-1914,C,Naypyitaw,Member,Female
756-01-7507,C,Naypyitaw,Normal,Female
870-72-4431,C,Naypyitaw,Normal,Female
847-38-7188,B,Mandalay,Normal,Female
480-63-2856,C,Naypyitaw,Normal,Male
787-56-0757,C,Naypyitaw,Member,Female
360-39-5055,C,Naypyitaw,Member,Male
730-50-9884,C,Naypyitaw,Normal,Female
362-58-8315,C,Naypyitaw,Normal,Male
633-44-8566,A,Yangon,Member,Male
504-35-8843,A,Yangon,Normal,Male
318-68-5053,B,Mandalay,Normal,Female
565-80-5980,C,Naypyitaw,Member,Female
225-32-0908,C,Naypyitaw,Normal,Female
873-51-0671,A,Yangon,Member,Female
152-08-9985,B,Mandalay,Member,Male
512-91-0811,C,Naypyitaw,Normal,Male
594-34-4444,A,Yangon,Normal,Male
766-85-7061,B,Mandalay,Normal,Male
871-39-9221,C,Naypyitaw,Normal,Female
865-92-6136,A,Yangon,Normal,Male
